SampleID,Plot,Gradient,Elevation_est,Elev_cat,Elevation_m,Date,SSU_SID,metaG_SID,metaG_SID2,Week,DayofYear,GWC,SOC.percent,pH,phosphate.g.g-1,NH4.ug.g-1,AM_hyphal_length_mm g-1,MBC.g.kg,sand.percent,silt.percent,clay.percent,texture_class,bulk_density,Lat,Long
A_31_wk_1,A_31,A,3100,mid,3134.76,7/1/18,RMBL_DOESnowmelt_A31_701,NA,NA,1,182,0.06,2.6,6.69,5.28,0.95,1481.6295,36.54,26,14.8,59.2,clay,0.8,38.9659359,-106.98281
Teo_31_wk_5,Teo_31,Teo,3100,mid,3157.2825,8/4/18,RMBL_DOESnowmelt_TEO31_804,NA,NA,5,216,0.03,1.16,5.83,,15.22,1583.10904,15.77,,,,,1.15,38.9481471,-106.89016
C_31_wk_3,C_31,C,3100,mid,3180.58,7/16/18,RMBL_DOESnowmelt_C31_717,3300041796,Ga0450708,3,197,0.07,0.97,5.81,7.97,,2556.20814,17.11,,,,sandy clay loam,0.97,38.9616842,-107.03091
C_31_wk_4,C_31,C,3100,mid,3180.58,7/23/18,RMBL_DOESnowmelt_C31_723,3300041812,Ga0450726,4,204,0.05,0.96,6.21,6.79,31.22,2487.68783,,,,,sandy clay loam,1.03,38.9616842,-107.03091
C_31_wk_2,C_31,C,3100,mid,3180.58,7/9/18,RMBL_DOESnowmelt_C31_709,3300041829,Ga0450690,2,190,0.16,1.42,6.03,3.64,1.65,4749.01015,3.63,,,,sandy clay loam,0.98,38.9616842,-107.03091
C_31_wk_5,C_31,C,3100,mid,3180.58,8/6/18,RMBL_DOESnowmelt_C31_806,3300041947,Ga0450744,5,218,0.05,1.33,6.81,,6.06,2356.32334,21.11,,,,sandy clay loam,1.05,38.9616842,-107.03091
C_31_wk_1,C_31,C,3100,mid,3180.58,7/2/18,RMBL_DOESnowmelt_C31_702,NA,NA,1,183,0.02,1.21,6.34,8.84,0.76,3481.33819,62.02,50,16.67,33.33,sandy clay loam,1.15,38.9616842,-107.03091
TR_31_wk_2,TR_31,TR,3100,mid,3197.25,7/9/18,RMBL_DOESnowmelt_TR31_709,3300041786,Ga0450696,2,190,0.11,1.82,6.11,11.64,5.47,3159.57343,40.75,,,,clay loam,0.73,38.966441,-107.0594
TR_31_wk_3,TR_31,TR,3100,mid,3197.25,7/16/18,RMBL_DOESnowmelt_TR31_717,3300041802,Ga0450714,3,197,0.18,2.01,6.25,4.42,3.18,2176.27008,13.63,,,,clay loam,0.51,38.966441,-107.0594
TR_32_wk_3,TR_32,TR,3200,mid,3197.25,7/16/18,RMBL_DOESnowmelt_TR32_717,3300041803,Ga0450715,3,197,0.19,1.85,5.76,1.79,1.93,3614.05391,,,,,clay,0.63,38.9707325,-107.05871
TR_31_wk_4,TR_31,TR,3100,mid,3197.25,7/23/18,RMBL_DOESnowmelt_TR31_723,3300041818,Ga0450732,4,204,0.07,1.43,6.17,1.47,10.03,2177.42808,2.16,,,,clay loam,1.18,38.966441,-107.0594
TR_31_wk_5,TR_31,TR,3100,mid,3197.25,7/31/18,RMBL_DOESnowmelt_TR31_731,3300041840,Ga0450750,5,212,0.04,1.48,6.4,,16.33,3617.56752,3.95,,,,clay loam,1.2,38.966441,-107.0594
TR_32_wk_5,TR_32,TR,3200,mid,3197.25,7/31/18,RMBL_DOESnowmelt_TR32_731,3300041841,Ga0450751,5,212,0.06,1.71,6.2,,12.6,3043.95416,,,,,clay,1.07,38.9707325,-107.05871
TR_32_wk_2,TR_32,TR,3200,mid,3197.25,7/9/18,RMBL_DOESnowmelt_TR32_709,3300041849,Ga0450697,2,190,0.15,2.07,5.84,6.72,1.06,4791.79999,25.63,,,,clay,0.73,38.9707325,-107.05871
TR_31_wk_1,TR_31,TR,3100,mid,3197.25,7/2/18,RMBL_DOESnowmelt_TR31_702,NA,NA,1,183,0.03,2.31,6.38,11.01,1.16,2141.92211,167.92,30.19,29.92,39.89,clay loam,0.83,38.966441,-107.0594
TR_32_wk_1,TR_32,TR,3200,mid,3197.25,7/2/18,RMBL_DOESnowmelt_TR32_702,NA,NA,1,183,0.03,2,6.12,5.03,0.96,3324.39885,79.14,30.13,17.47,52.4,clay,0.75,38.9707325,-107.05871
TR_32_wk_4,TR_32,TR,3200,mid,3256.5,7/23/18,RMBL_DOESnowmelt_TR32_723,3300041819,Ga0450733,4,204,0.13,1.97,6.33,1.04,7.58,2935.05455,9.23,,,,clay,0.77,38.9707325,-107.05871
R_33_wk_2.5,R_33,R,3300,mid,3332.75,7/13/18,RMBL_DOESnowmelt_R33_713,NA,NA,2.5,194,0.07,0.84,5.47,9.62,1.52,,5.13,,,,,,38.8945358,-107.11722
A_33_wk_2,A_33,A,3300,mid,3347.44,7/8/18,RMBL_DOESnowmelt_A33_708,3300041778,Ga0450685,2,189,0.05,0.97,6.78,1.08,1.12,2216.43236,6.81,,,,clay loam,1.05,38.9752925,-106.97827
A_33_wk_3,A_33,A,3300,mid,3347.44,7/15/18,RMBL_DOESnowmelt_A33_717,3300041792,Ga0450703,3,196,0.09,1.01,6.49,0.57,4.65,3449.89484,,,,,clay loam,0.78,38.9752925,-106.97827
A_33_wk_4,A_33,A,3300,mid,3347.44,7/22/18,RMBL_DOESnowmelt_A33_722,3300041808,Ga0450721,4,203,0.04,0.86,6.7,1.89,81.29,3038.01497,32.13,,,,clay loam,1.01,38.9752925,-106.97827
A_33_wk_5,A_33,A,3300,mid,3347.44,8/6/18,RMBL_DOESnowmelt_A33_806,3300041824,Ga0450739,5,218,0.05,0.72,6.69,,7.85,4128.14906,11.84,,,,clay loam,1.34,38.9752925,-106.97827
A_33_wk_1,A_33,A,3300,mid,3347.44,7/1/18,RMBL_DOESnowmelt_A33_701,NA,NA,1,182,0.02,1.07,6.67,0.77,0.36,1134.48205,86.99,38.72,22.98,38.3,clay loam,1.03,38.9752925,-106.97827
Teo_33_wk_5,Teo_33,Teo,3300,mid,3351.3175,8/4/18,RMBL_DOESnowmelt_TEO33_804,NA,NA,5,216,0.03,0.96,6.22,,25.55,2940.84408,,,,,,1.18,38.9472023,-106.87756
C_33_wk_3,C_33,C,3300,mid,3366,7/16/18,RMBL_DOESnowmelt_C33_717,3300041797,Ga0450709,3,197,0.15,1.41,5.27,5.39,9.62,3535.50537,9.23,,,,clay,0.86,38.970175,-107.02955
C_33_wk_4,C_33,C,3300,mid,3366,7/23/18,RMBL_DOESnowmelt_C33_723,3300041813,Ga0450727,4,204,0.06,1.35,5.75,,28.5,4869.48901,,,,,clay,0.94,38.970175,-107.02955
C_33_wk_2,C_33,C,3300,mid,3366,7/9/18,RMBL_DOESnowmelt_C33_709,3300041832,Ga0450691,2,190,0.15,1.47,5.3,13.9,0.8,3925.90056,2.44,,,,clay,0.82,38.970175,-107.02955
C_33_wk_5,C_33,C,3300,mid,3366,7/31/18,RMBL_DOESnowmelt_C33_731,3300041836,Ga0450745,5,212,0.07,1.22,5.55,,17.45,2436.26415,,,,,clay,1.16,38.970175,-107.02955
C_33_wk_1,C_33,C,3300,mid,3366,7/2/18,RMBL_DOESnowmelt_C33_702,NA,NA,1,183,0.09,3.77,5.59,10.48,1.1,6245.62666,39.5,35.34,21.55,43.1,clay,0.66,38.970175,-107.02955
A_35_wk_3,A_35,A,3500,high,3454.79,7/15/18,RMBL_DOESnowmelt_A35_717,3300041793,Ga0450704,3,196,0.17,1.4,7.48,0.27,1.55,6529.21591,4.6,,,,clay loam,0.7,38.978485,-106.97423
A_35_wk_4,A_35,A,3500,high,3454.79,7/22/18,RMBL_DOESnowmelt_A35_722,3300041809,Ga0450722,4,203,0.11,1.14,7.48,,9.88,5209.62228,,,,,clay loam,0.9,38.978485,-106.97423
A_35_wk_5,A_35,A,3500,high,3454.79,8/6/18,RMBL_DOESnowmelt_A35_806,3300041825,Ga0450740,5,218,0.09,1.12,7.75,,9.68,4500.64807,,,,,clay loam,1,38.978485,-106.97423
A_35_wk_2,A_35,A,3500,high,3454.79,7/8/18,RMBL_DOESnowmelt_A35_708,3300041828,Ga0450686,2,189,0.1,1.27,7.51,0.34,1.49,2617.62377,3.55,,,,clay loam,0.95,38.978485,-106.97423
A_35_wk_1,A_35,A,3500,high,3454.79,7/1/18,RMBL_DOESnowmelt_A35_701,NA,NA,1,182,0.16,1.37,7.51,,0.24,4851.8485,4.93,44.13,19.72,36.15,clay loam,0.71,38.978485,-106.97423
TR_35_wk_2,TR_35,TR,3500,high,3521,7/9/18,NA,3300041787,Ga0450698,2,190,0.26,2.89,5.34,,1.26,8884.34877,21.83,,,,sandy clay loam,0.54,38.9957425,-107.07463
TR_35_wk_4,TR_35,TR,3500,high,3521,7/23/18,RMBL_DOESnowmelt_TR35_723,3300041820,Ga0450734,4,204,0.22,3.35,5.23,,,4399.27728,11.07,,,,sandy clay loam,0.59,38.9957425,-107.07463
TR_35_wk_5,TR_35,TR,3500,high,3521,8/6/18,RMBL_DOESnowmelt_TR35_806,3300041842,Ga0450752,5,218,0.21,2.3,5.25,,35.03,7364.32964,7.08,,,,sandy clay loam,0.65,38.9957425,-107.07463
TR_35_wk_3,TR_35,TR,3500,high,3521,7/16/18,RMBL_DOESnowmelt_TR35_717,3300044803,Ga0450716,3,197,0.25,2.5,5.14,,1.82,6409.83814,10.46,,,,sandy clay loam,0.41,38.9957425,-107.07463
TR_35_wk_1,TR_35,TR,3500,high,3521,7/2/18,RMBL_DOESnowmelt_TR35_702,NA,NA,1,183,0.19,3.1,5.32,,0.92,3567.63802,63.25,50.59,16.47,32.94,sandy clay loam,0.65,38.9957425,-107.07463
R_35_wk_2.5,R_35,R,3500,high,3539,7/13/18,RMBL_DOESnowmelt_R35_713,NA,NA,2.5,194,0.19,1.75,5.31,1.58,0.66,,14.5,,,,,,38.901041,-107.12194
Teo_35_wk_5,Teo_35,Teo,3500,high,3553.005,8/4/18,RMBL_DOESnowmelt_TEO35_804,NA,NA,5,216,0.04,0.62,5.88,,12.26,2936.26224,16.65,,,,,1.24,38.9534378,-106.87629
C_35_wk_2,C_35,C,3500,high,3578.5,7/9/18,RMBL_DOESnowmelt_C35_709,3300041782,Ga0450692,2,190,0.21,2.14,5.04,1.42,1.52,4697.96067,3.88,,,,clay loam,0.62,38.99356,-107.06754
C_35_wk_3,C_35,C,3500,high,3578.5,7/16/18,RMBL_DOESnowmelt_C35_717,3300041798,Ga0450710,3,197,0.22,1.62,4.98,0.38,2.36,3644.77268,7.99,,,,clay loam,0.44,38.99356,-107.06754
C_35_wk_4,C_35,C,3500,high,3578.5,7/23/18,RMBL_DOESnowmelt_C35_723,3300041814,Ga0450728,4,204,0.12,1.72,5.03,0.28,22.46,2494.03763,8.15,,,,clay loam,0.83,38.99356,-107.06754
C_35_wk_5,C_35,C,3500,high,3578.5,8/6/18,RMBL_DOESnowmelt_C35_806,3300041837,Ga0450746,5,218,0.18,1.79,5.29,,15.8,2535.45713,2.07,,,,clay loam,0.78,38.99356,-107.06754
C_35_wk_1,C_35,C,3500,high,3578.5,7/2/18,RMBL_DOESnowmelt_C35_702,NA,NA,1,183,0.14,2.13,4.99,0.49,0.78,4129.64587,17.2,43.39,19.98,36.63,clay loam,0.49,38.99356,-107.06754
A_36_wk_2,A_36,A,3600,high,3655.31,7/8/18,NA,3300041779,Ga0450687,2,189,0.09,1.18,5.99,1.51,0.67,3309.69812,38.01,,,,clay,0.7,38.984065,-106.97021
A_36_wk_3,A_36,A,3600,high,3655.31,7/15/18,RMBL_DOESnowmelt_A36_717,3300041794,Ga0450705,3,196,0.16,1.29,5.68,0.49,1.57,7817.35516,6.94,,,,clay,0.67,38.984065,-106.97021
A_36_wk_4,A_36,A,3600,high,3655.31,7/22/18,NA,3300041810,Ga0450723,4,203,0.09,1.19,5.69,8.24,10.95,4315.37191,9.27,,,,clay,1.04,38.984065,-106.97021
A_36_wk_5,A_36,A,3600,high,3655.31,8/6/18,RMBL_DOESnowmelt_A36_806,3300041826,Ga0450741,5,218,0.07,0.88,6.03,,56.47,4638.59042,6.38,,,,clay,1.14,38.984065,-106.97021
A_36_wk_1,A_36,A,3600,high,3655.31,7/1/18,RMBL_DOESnowmelt_A36_701,NA,NA,1,182,0.06,1.24,6.02,1.46,0.26,5819.86405,34.13,32.32,25.38,42.3,clay,0.98,38.984065,-106.97021
TR_37_wk_2,TR_37,TR,3700,high,3697.75,7/9/18,RMBL_DOESnowmelt_TR37_709,3300041788,Ga0450699,2,190,0.13,1.07,7.27,1.15,1.36,2026.77431,2.99,,,,clay loam,1.01,38.9999325,-107.0843
TR_37_wk_3,TR_37,TR,3700,high,3697.75,7/16/18,RMBL_DOESnowmelt_TR37_717,3300041804,Ga0450717,3,197,0.15,1.08,7.08,0.54,2,2235.73724,12.47,,,,clay loam,0.8,38.9999325,-107.0843
TR_37_wk_4,TR_37,TR,3700,high,3697.75,7/23/18,RMBL_DOESnowmelt_TR37_723,3300041821,Ga0450735,4,204,0.11,1.19,6.78,,8.07,1281.61289,,,,,clay loam,1.17,38.9999325,-107.0843
TR_37_wk_5,TR_37,TR,3700,high,3697.75,8/6/18,RMBL_DOESnowmelt_TR37_806,3300041870,Ga0450753,5,218,0.16,1.12,6.64,,14.54,1358.5071,3.14,,,,clay loam,0.77,38.9999325,-107.0843
TR_37_wk_1,TR_37,TR,3700,high,3697.75,7/2/18,RMBL_DOESnowmelt_TR37_702,NA,NA,1,183,0.05,1.67,6.6,,0.3,1472.17722,15.05,39.66,27.43,32.91,clay loam,1.11,38.9999325,-107.0843
R_37_wk_2.5,R_37,R,3700,high,3723,7/13/18,NA,NA,NA,2.5,194,0.12,1.31,5.01,4.89,0.78,,23.69,,,,,,38.8991597,-107.12836
C_37_wk_2,C_37,C,3700,high,3726,7/9/18,RMBL_DOESnowmelt_C37_709,3300041783,Ga0450693,2,190,0.14,1.18,5.17,1.3,0.54,5344.95848,15.54,,,,clay loam,0.98,38.99495,-107.07043
C_37_wk_3,C_37,C,3700,high,3726,7/16/18,RMBL_DOESnowmelt_C37_717,3300041799,Ga0450711,3,197,0.16,1.07,5.29,0.74,1.5,11962.4596,5.55,,,,clay loam,0.82,38.99495,-107.07043
C_37_wk_4,C_37,C,3700,high,3726,7/23/18,RMBL_DOESnowmelt_C37_723,3300041815,Ga0450729,4,204,0.08,1.15,5.43,0.29,12.58,9414.06517,9.46,,,,clay loam,1.2,38.99495,-107.07043
C_37_wk_5,C_37,C,3700,high,3726,8/6/18,NA,3300041978,Ga0450747,5,218,0.11,1.15,5.51,,34.3,7280.85561,11.17,,,,clay loam,1.1,38.99495,-107.07043
C_37_wk_1,C_37,C,3700,high,3726,7/2/18,RMBL_DOESnowmelt_C37_702,NA,NA,1,183,0.04,1.78,5.48,0.43,0.72,4313.20443,47.7,41.44,26.02,32.53,clay loam,1.12,38.99495,-107.07043
Teo_37_wk_5,Teo_37,Teo,3700,high,3771.4975,8/4/18,RMBL_DOESnowmelt_TEO37_804,NA,NA,5,216,0.03,0.64,6.28,,29.94,2543.15346,,,,,,1.39,38.9581807,-106.87793
R_38_wk_2.5,R_38,R,3800,high,3833,7/13/18,RMBL_DOESnowmelt_R38_713,NA,NA,2.5,194,0.17,2.66,6.44,3.08,0.51,,5.68,,,,,,38.8973165,-107.12805